Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAP-SMD_L3.2-W1.6-RD-C7171,1,10uf,C7171
C2,CASE-A_3216,1,22uf,C11366
"C3, C4",C0603,2,1uf,C2918486
DC1,DC-IN-TH_DC-005-5A-2.5,1,5V 10A,C381115
J1,PinHeader_1x06_P2.54mm_Vertical,1,header,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Prog,
J3,TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm,1,LED_Conn,
LED1,LED-ARRAY-SMD_4P-L2.1-W2.1-TL_NH-B2020RGBA,1,NH-B2020RGBA-HF,C2874116
R1,R0603,1,10K,C25804
R2,1206,1,62R,C3013271
R3,R0603,1,120R,C2907096
"R4, R5",R0603,2,180R,C22828
SW1,SW-SMD_L3.9-W3.0-P4.45,1,BOOT,C720477
SW2,SW-SMD_L3.9-W3.0-P4.45,1,RESET,C720477
SW3,SW-SMD_L3.9-W3.0-P4.45,1,-,C720477
SW4,SW-SMD_L3.9-W3.0-P4.45,1,+,C720477
SW5,SW-SMD_L3.9-W3.0-P4.45,1,MODE,C720477
SW6,SW-SMD_L3.9-W3.0-P4.45,1,POWER,C720477
U1,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,LM1117S-3.3,C126027
U2,WIFIM-SMD_ESP32-S3-WROOM-1-N8,1,ESP32-S3-WROOM-1-N8,C2913198
U3,CAP-SMD_BD8.0-L8.3-W8.3-LS9.1-FD,1,1000uf,C19191929
U4,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,1,SN74AHCT125PWR,C36365
